age,gender,daily_gaming_hours,game_genre,gaming_platform,sleep_hours,sleep_quality,sleep_disruption_frequency,academic_work_performance,grades_gpa,work_productivity_score,mood_state,mood_swing_frequency,withdrawal_symptoms,loss_of_other_interests,continued_despite_problems,eye_strain,back_neck_pain,weight_change_kg,exercise_hours_weekly,social_isolation_score,face_to_face_social_hours_weekly,monthly_game_spending_usd,years_gaming
24,Male,9.8,RPG,Mobile,4.5,Poor,Always,Below Average,2.01,50.7,Irritable,Sometimes,False,False,True,True,False,-0.8,3.6,5,13.8,173.95,6
24,Female,12.0,MOBA,Multiple,5.9,Poor,Sometimes,Below Average,2.88,34.8,Irritable,Always,True,False,True,False,False,8.0,9.5,5,14.5,158.22,14
15,Female,13.6,Battle Royale,Mobile,6.5,Fair,Never,Excellent,2.88,88.5,Withdrawn,Often,False,False,False,False,True,9.7,8.4,8,10.2,414.33,6
25,Male,4.9,Mobile Games,Multiple,7.0,Poor,Rarely,Average,1.77,86.3,Depressed,Often,True,False,True,True,False,-0.8,1.9,3,10.4,67.32,1
21,Female,5.4,MOBA,Multiple,3.1,Fair,Often,Below Average,3.66,28.5,Normal,Sometimes,True,False,True,False,True,9.0,5.4,8,1.3,127.41,8
14,Male,5.7,Sports,Multiple,7.9,Excellent,Rarely,Above Average,1.72,57.9,Angry,Sometimes,True,True,False,False,True,4.6,9.4,5,12.2,150.03,9
15,Male,8.5,Battle Royale,Mobile,7.5,Excellent,Sometimes,Above Average,3.83,70.0,Restless,Never,False,True,False,False,False,3.0,5.8,4,6.1,334.78,14
19,Male,4.7,MOBA,Console,8.9,Very Poor,Sometimes,Average,3.86,93.8,Irritable,Sometimes,True,False,True,False,False,2.3,2.6,5,8.6,79.87,12
14,Male,8.7,FPS,Mobile,4.5,Fair,Always,Below Average,3.78,46.2,Irritable,Always,False,False,True,True,False,9.8,6.4,7,4.5,322.41,5
15,Male,7.9,Battle Royale,Mobile,7.1,Fair,Sometimes,Average,3.64,62.8,Irritable,Often,True,False,False,True,False,-0.4,2.7,5,9.5,315.77,8
21,Male,3.5,Battle Royale,Mobile,7.1,Fair,Often,Average,3.37,52.6,Angry,Rarely,True,False,False,True,True,-3.9,8.3,5,8.2,326.48,8
17,Male,11.1,Mobile Games,Mobile,6.0,Poor,Rarely,Above Average,3.5,36.4,Withdrawn,Never,False,True,False,False,False,4.1,8.1,3,14.7,148.08,9
14,Male,11.0,Mobile Games,Console,3.8,Poor,Never,Average,2.29,55.8,Normal,Often,True,False,False,False,False,4.7,6.5,3,1.6,27.46,5
24,Male,2.2,Mobile Games,Multiple,4.6,Fair,Never,Average,1.76,25.3,Normal,Always,False,False,True,True,True,3.1,7.8,7,12.3,248.97,11
24,Female,8.7,RPG,Mobile,9.0,Fair,Often,Excellent,2.46,90.6,Anxious,Always,False,True,True,True,True,6.2,1.6,8,3.5,272.44,12
20,Female,9.3,MOBA,Mobile,8.7,Very Poor,Rarely,Excellent,1.84,85.7,Anxious,Often,True,False,False,True,True,-4.3,2.4,3,6.0,47.24,14
23,Male,2.3,Sports,Mobile,7.5,Very Poor,Often,Below Average,3.53,50.9,Angry,Always,True,False,False,False,True,9.0,3.3,4,3.2,216.46,13
20,Non-binary,3.8,Mobile Games,Multiple,7.1,Fair,Sometimes,Excellent,1.62,54.0,Irritable,Often,False,False,False,True,False,3.4,1.0,1,8.7,172.18,14
16,Male,10.5,Mobile Games,Multiple,8.3,Excellent,Never,Above Average,3.99,60.6,Normal,Always,False,False,False,True,True,-4.3,8.2,6,6.4,159.12,1
16,Male,4.0,MOBA,Multiple,4.6,Poor,Sometimes,Excellent,2.6,82.9,Restless,Always,True,True,True,True,False,9.9,6.2,7,12.7,20.33,13
16,Male,3.5,Mobile Games,Multiple,3.9,Good,Rarely,Excellent,3.98,98.9,Anxious,Often,True,True,False,True,False,-4.5,0.0,4,4.4,387.32,5
19,Female,2.3,FPS,Multiple,3.8,Poor,Often,Above Average,3.17,33.2,Irritable,Always,False,False,False,False,True,6.9,3.3,1,12.5,486.07,10
23,Female,7.9,RPG,Mobile,5.9,Poor,Never,Excellent,3.88,90.0,Normal,Never,False,True,False,True,False,1.8,6.4,7,7.3,44.38,4
24,Female,13.9,Mobile Games,PC,8.7,Poor,Often,Average,2.92,39.1,Restless,Often,False,False,False,True,True,-0.0,6.8,4,11.8,79.64,5
22,Male,7.3,Mobile Games,Mobile,5.9,Good,Sometimes,Above Average,3.17,90.7,Depressed,Sometimes,False,False,False,True,False,3.6,7.1,5,8.5,261.58,6
13,Non-binary,11.3,Sports,Multiple,7.8,Excellent,Often,Below Average,3.72,34.1,Depressed,Never,True,True,True,False,False,1.3,9.2,4,3.3,21.67,10
25,Male,11.8,MOBA,PC,7.9,Excellent,Never,Average,2.16,64.4,Restless,Sometimes,False,False,False,False,False,-2.6,1.2,7,13.9,58.04,10
17,Male,7.7,FPS,PC,4.9,Fair,Sometimes,Above Average,1.91,77.2,Irritable,Always,False,False,False,False,False,1.4,3.8,3,11.5,488.99,13
